"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"55","4.1976135505657181E-1","-3.4317122811590457E-22","-1.8005580573908341E-25","-6.9894069491857421E-13","1.4290648884147927E+0","-5.5373694664124425E-25","2.7510596106329599E+0","7.4411825757133521E+0","3.2984186290409276E+1","1.0936877812534701E+2","1.215058560962404E-2"
"56","4.1994769213253996E-1","-3.5465613136830207E-23","4.8603322961047386E-26","-1.2540103006695732E-12","1.4283729029964582E+0","-2.9437074552807905E-25","2.7512348059285299E+0","7.4410800186960246E+0","3.2983731690655745E+1","1.0928762789871200E+2","1.215058560962404E-2"
"57","4.2013407028119543E-1","-2.3942682160261761E-25","-2.8048939757384467E-25","6.8851653977290825E-13","1.4276810865953216E+0","-6.0376771078620951E-25","2.7514099435508101E+0","7.4409768568147356E+0","3.2983274409749669E+1","1.0920651949095000E+2","1.215058560962404E-2"
"58","4.2032048946262451E-1","-6.2111554230855373E-23","4.9635318563570015E-25","-5.3850541133654671E-13","1.4269894392499398E+0","1.0338591980110286E-24","2.7515850234619199E+0","7.4408730890871535E+0","3.2982814443336707E+1","1.0912545469783900E+2","1.215058560962404E-2"
"59","4.2050694963680457E-1","1.0508089082219514E-22","6.5642375794587638E-25","-1.0549439989423634E-12","1.4262979609987023E+0","1.6488137341237836E-24","2.7517600456252000E+0","7.4407687145295087E+0","3.2982351787056167E+1","1.0904442834844700E+2","1.215058560962404E-2"
"60","4.2069345076369791E-1","-2.0458860383687387E-22","-1.1094852662421900E-25","-1.1914900144693424E-12","1.4256066518801047E+0","-5.4127127070563059E-25","2.7519350100035300E+0","7.4406637321567288E+0","3.2981886436541544E+1","1.0896343857694100E+2","1.215058560962404E-2"
"61","4.2087999280320521E-1","-2.3210512103069045E-22","-1.6881240005744573E-25","-1.8740205939682814E-12","1.4249155119327259E+0","3.1111280518268246E-25","2.7521099165598302E+0","7.4405581409817669E+0","3.2981418387417612E+1","1.0888249002842900E+2","1.215058560962404E-2"
"62","4.2106657571520328E-1","4.5500354639917172E-23","-3.0862232190479666E-27","-1.6312964729347292E-12","1.4242245411950207E+0","4.0818932931938867E-25","2.7522847652572802E+0","7.4404519400168105E+0","3.2980947635305746E+1","1.0880158265669800E+2","1.215058560962404E-2"
"63","4.2125319945948098E-1","1.7740588102214271E-22","8.3625303734564492E-26","-7.8783092395859336E-13","1.4235337397056567E+0","-2.7427867676885207E-25","2.7524595560590002E+0","7.4403451282717894E+0","3.2980474175817292E+1","1.0872071263206900E+2","1.215058560962404E-2"
"64","4.2143986399581945E-1","1.6679139877922507E-22","-4.8018612965121479E-26","-1.0775810020511859E-12","1.4228431075032844E+0","3.9731997037283077E-25","2.7526342889279198E+0","7.4402377047555586E+0","3.2979998004558851E+1","1.0863988481497000E+2","1.215058560962404E-2"
"65","4.2162656928392178E-1","2.3565400276858857E-22","4.8929520093048027E-26","-1.7322324822559964E-13","1.4221526446264794E+0","2.6462077837316009E-25","2.7528089638276199E+0","7.4401296684755778E+0","3.2979519117130849E+1","1.0855909666661600E+2","1.215058560962404E-2"
"66","4.2181331528346427E-1","-8.3742953808971520E-23","6.2065399360840187E-25","6.1396259440164871E-13","1.4214623511139766E+0","1.0893563804431811E-24","2.7529835807211902E+0","7.4400210184375837E+0","3.2979037509126051E+1","1.0847834746695300E+2","1.215058560962404E-2"
"67","4.2200010195407556E-1","-3.4482508167979213E-24","-2.8923585954189460E-25","-1.4834312670167087E-12","1.4207722270045822E+0","-4.2122103562028644E-26","2.7531581395716400E+0","7.4399117536457489E+0","3.2978553176130291E+1","1.0839763964857600E+2","1.215058560962404E-2"
"68","4.2218692925530432E-1","-1.6641409455811148E-23","1.5403658908876219E-25","-1.1593419479004711E-12","1.4200822723368787E+0","4.6037138161135945E-25","2.7533326403431002E+0","7.4398018731031579E+0","3.2978066113724594E+1","1.0831697311070600E+2","1.215058560962404E-2"
"69","4.2237379714668610E-1","-4.2861112958817597E-24","-1.5019206640325978E-25","-1.9455185849408473E-12","1.4193924871497758E+0","-1.4782864759327232E-25","2.7535070829985799E+0","7.4396913758108907E+0","3.2977576317481109E+1","1.0823634385833500E+2","1.215058560962404E-2"
